departement_code,id,bss_code,name,critical-water-level,drought-decrees-sou,drought-decrees-sup,dryness-agricultural,dryness-groundwater,dryness-groundwater-deep,dryness-meteo,dryness-resources,dryness-small-stream,dryness-stream-flow,heatwave-agricultural,heatwave-meteo,heatwave-resources,quality
49,2332,04552X0111/PZ2,FONTAINE-MILONJurassique,0,0,0,0,0,1,0,0,0,0,0,0,0,0
49,1839,04242X0053/F,MONTIGNE,0,1,0,0,1,1,0,0,0,0,0,0,0,0
49,8287,05124X0509/AEP,Montreuil-Bellay - 05124X0509/AEP,0,0,0,0,0,1,0,0,0,0,0,0,0,0
49,8442,05123X0545/PZ,Montreuil-Bellay - 05123X0545/PZ,0,0,0,0,0,1,0,0,0,0,0,0,0,0
49,1822,03925X0017/PZ,Morannes sur Sarthe-Daumeray - 03925X0017/PZ,0,1,0,0,0,1,0,0,0,0,0,0,0,0
49,1001,04562X0003/AEP,Noyant-Villages - 04562X0003/AEP,0,1,0,0,0,1,0,0,0,0,0,0,0,0
49,1002,04562X0046/AEP,Noyant-Villages - 04562X0046/AEP,0,1,0,0,0,1,0,0,0,0,0,0,0,0
49,7437,04555X0093/F1,Gennes-Val de Loire - 04555X0093/F1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
49,1016,04858X0135/PZ,Souzay-Champigny - 04858X0135/PZ,0,1,0,0,0,1,0,0,0,0,0,0,0,0
49,978,04565X0077/PZ1,VERNOIL Céno,0,0,0,0,1,1,0,0,0,0,0,0,0,0
49,1015,04854X0282/PZ,Vivy - 04854X0282/PZ,0,0,0,0,0,1,0,0,0,0,0,0,0,0
51,1345,01877X0078/PN01,Sables de l'Apto-Albien captif à CONGY,0,0,0,0,0,1,0,0,0,0,0,0,0,0
58,1922,04961X0093/F4,Forage communal (Monceaux-Le-Comte-58),0,0,0,0,0,1,0,0,0,0,0,0,0,0
59,7447,00155C0017/F1,Forage de la brasserie Duquesnoy (Baisieux) - 59,0,0,0,0,0,1,0,0,0,0,0,0,0,0
59,7460,00143C0079/F1,Forage de la Société des Eaux du Nord (Bondues) - 59,0,0,0,0,0,1,0,0,0,0,0,0,0,0
59,7446,00146B0007/F1,"Forage au lieut dit ""Le Marais"" (Lomme) - 59",0,0,0,0,0,1,0,0,0,0,0,0,0,0
64,712,10052X0037/F,LASSEPPE (LALONGUE - 64),0,0,0,0,1,1,0,0,0,0,0,0,0,0
64,8118,10052X0038/F,BIGORRE (LANNECAUBE - 64),0,0,0,0,0,1,0,0,0,0,0,0,0,0
64,697,10057X0001/LEE1,LEMBEYE 1 (SIMACOURBE - 64),0,0,0,0,1,1,0,0,0,0,0,0,0,0
65,700,10312X0001/F,SENAC,0,0,0,0,1,1,0,0,0,0,0,0,0,0
66,1655,10972X0137/PONT,Argelès-sur-Mer - 10972X0137/PONT,0,1,1,0,0,1,0,0,0,0,0,0,0,0
66,1644,10912X0112/BAR3,BARCARES/ Plage N3,0,1,1,0,0,1,0,0,0,0,0,0,0,0
66,1645,10912X0111/BAR4,Barcarès - 10912X0111/BAR4,0,1,1,0,0,1,0,0,0,0,0,0,0,0
66,8017,10912X0024/F,BARCARES SN4,0,1,1,0,0,1,0,0,0,0,0,0,0,0
66,1651,10916X0090/PHARE,CANET PHARE,0,1,1,0,0,1,0,0,0,0,0,0,0,0
66,1654,10908X0263/FIGUER,Perpignan - 10908X0263/FIGUER,0,1,1,0,0,1,0,0,0,0,0,0,0,0
66,2504,10915X0316/F3,PIA,0,1,1,0,1,1,0,0,0,0,0,0,0,0
66,1637,10964X0119/NYLS-1,NYLS PONTEILLA,0,1,1,0,0,1,0,0,0,0,0,0,0,0
66,8193,10975X0032/SABIRO,SABIROU,0,1,1,0,1,1,0,0,0,0,0,0,0,0
66,7714,10912X0061/F3N4,SAINT-LAURENT-DE-LA-SALANQUE,0,1,1,0,0,1,0,0,0,0,0,0,0,0
66,7713,10916X0061/F1N4,SAINTE-MARIE N4,0,1,1,0,0,1,0,0,0,0,0,0,0,0
66,7422,10972X0098/FE1,SAINT-NAZAIRE,0,1,1,0,0,1,0,0,0,0,0,0,0,0
66,1640,10911X0137/F2,EX-OPOUL - FORAGE MAS NOU,0,1,0,0,1,1,0,0,0,0,0,0,0,0
66,8379,10963X0059/MEDALU,Terrats - 10963X0059/MEDALU,0,1,1,0,0,1,0,0,0,0,0,0,0,0
66,7679,10912X0110/TOR3,TORREILLES,0,1,1,0,0,1,0,0,0,0,0,0,0,0
71,626,05536X0079/PZ1,Forage BRGM (Mellecey-71),0,0,0,0,0,1,0,0,0,0,0,0,0,0
71,1115,05537X0127/P,Sassenay - 05537X0127/P,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72,7407,03237X0043/PZ31,LE GRAND COUDRAY,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72,3683,03237X0021/PZ16,LA CROIX DU PIN,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72,7700,04253X0550/PZ24,BOIS DE NEUILLAY,0,0,0,0,1,1,0,0,0,0,0,0,0,0
72,3684,03946X0015/PZ22,LES VAUX DU PUITS,0,0,0,0,1,1,0,0,0,0,0,0,0,0
75,1327,01837A0096/F2,Piézomètre de Paris 13 (Paris 13ème arrondissement -75),0,0,0,0,0,1,0,0,0,0,0,0,0,0
76,1363,01234X0297/F2,Forage Recyclerie (Caudebec-les-Elbeuf) - 76,0,0,0,0,0,1,0,0,0,0,0,0,0,0
77,1324,02951X0049/S1,Piézomètre du lieu-dit des Grands Larris (La Grande-Paroisse - 77),0,0,0,0,0,1,0,0,0,0,0,0,0,0
77,1305,02211X0023/CHE101,PIÉZOMÈTRE DE LA HOUSSAYE-EN-BRIE -77 (ALBIEN),0,0,0,0,0,1,0,0,0,0,0,0,0,0
79,2034,05394X0012/P,OIRON,0,0,0,0,0,1,0,0,0,0,0,0,0,0
85,7788,05341X0104/SF7,"Beauvoir forage du Petit Champ de Bataille (Beauvoir,85)",0,0,0,0,0,1,0,0,0,0,0,0,0,0
85,8419,06102X0620/PZ,Benet - 06102X0620/PZ,0,0,0,0,0,1,0,0,0,0,0,0,0,0
85,1739,05076X0019/F,Forage les Murs (Bouin-85),0,0,0,0,0,1,0,0,0,0,0,0,0,0
85,7706,05342X0034/F4,"Forage Ifremer(Bouin,85)",0,0,0,0,0,1,0,0,0,0,0,0,0,0
85,7890,05342X0078/FORAGE,"Bouin forage polder du Dain (Bouin,85)",0,0,0,0,0,1,0,0,0,0,0,0,0,0
85,8004,05342X0073/F,"Bouin forage du Pont Guérineau (Bouin,85)",0,0,0,0,0,1,0,0,0,0,0,0,0,0
85,8305,05076X0001/S,Bouin - 05076X0001/S,0,0,0,0,0,1,0,0,0,0,0,0,0,0
85,7999,06094X0143/F,"Forage de Billaude (Doix,85)",0,0,0,0,0,1,0,0,0,0,0,0,0,0
85,7888,06092X0584/FORAGE,"Forage du Breuil (le Langon,85)",0,0,0,0,0,1,0,0,0,0,0,0,0,0
85,7889,06093X0118/FORAGE,"Forage de Chottard (Montreuil,85)",0,0,0,0,0,1,0,0,0,0,0,0,0,0
85,7949,06094X0181/F,"Forage de Chalais (St Pierre le Vieux,85)",0,0,0,0,0,1,0,0,0,0,0,0,0,0
85,676,06091X0541/F,"Forage de la Bonde coteau (Ste Radégaonde des Noyers,85)",0,0,0,0,0,1,0,0,0,0,0,0,0,0
